Player,Player Link,Maidens,Overs,Runs,Wickets,Economy,Inns,Opposition,Ground,Start Date
JW Hastings,/ci/content/player/228622.html,1,10.0,41,2,4.10,1,Sri Lanka,Dambulla,28 Aug 2016
JW Hastings,/ci/content/player/228622.html,0,7.3,42,2,5.60,1,New Zealand,Hamilton,8 Feb 2016
MA Starc,/ci/content/player/311592.html,0,10.0,42,2,4.20,1,Sri Lanka,Dambulla,28 Aug 2016
SM Boland,/ci/content/player/446548.html,0,8.0,42,2,5.25,1,Ireland,Benoni,27 Sep 2016
JR Hazlewood,/ci/content/player/288284.html,1,9.0,42,2,4.66,2,New Zealand,Canberra,6 Dec 2016
GJ Maxwell,/ci/content/player/325026.html,0,7.0,43,2,6.14,1,Pakistan,Adelaide,20 Mar 2015
A Zampa,/ci/content/player/379504.html,0,6.0,43,2,7.16,1,Sri Lanka,Pallekele,4 Sep 2016
GJ Maxwell,/ci/content/player/325026.html,0,10.0,44,2,4.40,2,England,Lord's,5 Sep 2015
JP Faulkner,/ci/content/player/270484.html,0,9.2,44,2,4.71,1,Sri Lanka,Dambulla,28 Aug 2016
JR Hazlewood,/ci/content/player/288284.html,0,10.0,44,2,4.40,1,New Zealand,Hamilton,5 Feb 2017
JR Hazlewood,/ci/content/player/288284.html,0,10.0,45,2,4.50,1,New Zealand,Hamilton,8 Feb 2016
MA Starc,/ci/content/player/311592.html,1,10.0,45,2,4.50,2,Pakistan,Melbourne,15 Jan 2017
MA Starc,/ci/content/player/311592.html,1,9.0,47,2,5.22,2,England,Melbourne,14 Feb 2015
PJ Cummins,/ci/content/player/489889.html,1,9.3,48,2,5.05,2,England,Southampton,3 Sep 2015
CP Tremain,/ci/content/player/553800.html,0,10.0,48,2,4.80,2,South Africa,Port Elizabeth,9 Oct 2016
GS Sandhu,/ci/content/player/499660.html,0,10.0,49,2,4.90,1,England,Hobart,23 Jan 2015
MG Johnson,/ci/content/player/6033.html,0,10.0,50,2,5.00,2,India,Sydney,26 Mar 2015
PJ Cummins,/ci/content/player/489889.html,1,10.0,50,2,5.00,1,England,Manchester,8 Sep 2015
JW Hastings,/ci/content/player/228622.html,0,10.0,50,2,5.00,2,India,Canberra,20 Jan 2016
JR Hazlewood,/ci/content/player/288284.html,0,9.0,50,2,5.55,2,England,Birmingham,10 Jun 2017
MR Marsh,/ci/content/player/272450.html,0,9.0,52,2,5.77,2,England,Leeds,11 Sep 2015
MA Starc,/ci/content/player/311592.html,0,10.0,52,2,5.20,2,New Zealand,Canberra,6 Dec 2016
MP Stoinis,/ci/content/player/325012.html,0,10.0,54,2,5.40,1,India,Chennai,17 Sep 2017
MA Starc,/ci/content/player/311592.html,0,10.0,55,2,5.50,2,England,Southampton,3 Sep 2015
MR Marsh,/ci/content/player/272450.html,0,9.2,55,2,5.89,2,India,Canberra,20 Jan 2016
GJ Maxwell,/ci/content/player/325026.html,0,10.0,56,2,5.60,1,England,Manchester,8 Sep 2015
JP Faulkner,/ci/content/player/270484.html,0,10.0,56,2,5.60,1,West Indies,Bridgetown,21 Jun 2016
A Zampa,/ci/content/player/379504.html,0,10.0,57,2,5.70,1,New Zealand,Wellington,6 Feb 2016
SM Boland,/ci/content/player/446548.html,0,9.0,59,2,6.55,1,New Zealand,Hamilton,8 Feb 2016
JP Faulkner,/ci/content/player/270484.html,0,10.0,60,2,6.00,1,India,Perth,12 Jan 2016
A Zampa,/ci/content/player/379504.html,0,7.0,60,2,8.57,2,West Indies,Basseterre,13 Jun 2016
PJ Cummins,/ci/content/player/489889.html,0,10.0,60,2,6.00,2,Pakistan,Adelaide,26 Jan 2017
SM Boland,/ci/content/player/446548.html,0,10.0,61,2,6.10,1,New Zealand,Wellington,6 Feb 2016
MG Johnson,/ci/content/player/6033.html,0,9.0,62,2,6.88,2,Sri Lanka,Sydney,8 Mar 2015
PJ Cummins,/ci/content/player/489889.html,0,9.0,62,2,6.88,2,New Zealand,Sydney,4 Dec 2016
JP Faulkner,/ci/content/player/270484.html,0,10.0,64,2,6.40,1,India,Brisbane,15 Jan 2016
TM Head,/ci/content/player/530011.html,0,10.0,65,2,6.50,1,Pakistan,Perth,19 Jan 2017
A Zampa,/ci/content/player/379504.html,0,10.0,66,2,6.60,2,New Zealand,Sydney,4 Dec 2016
TM Head,/ci/content/player/530011.html,0,10.0,66,2,6.60,2,Pakistan,Sydney,22 Jan 2017
JP Faulkner,/ci/content/player/270484.html,0,10.0,67,2,6.70,1,New Zealand,Auckland,3 Feb 2016
NM Coulter-Nile,/ci/content/player/261354.html,0,9.4,67,2,6.93,2,West Indies,Basseterre,13 Jun 2016
PJ Cummins,/ci/content/player/489889.html,0,9.0,67,2,7.44,1,New Zealand,Auckland,30 Jan 2017
JR Hazlewood,/ci/content/player/288284.html,1,10.0,68,2,6.80,1,New Zealand,Auckland,3 Feb 2016
MR Marsh,/ci/content/player/272450.html,0,10.0,68,2,6.80,1,South Africa,Johannesburg,2 Oct 2016
