Player,Player Link,Maidens,Overs,Runs,Wickets,Economy,Inns,Opposition,Ground,Start Date
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,1,South Africa,Kanpur,11 Oct 2015
S Dhawan,/ci/content/player/28235.html,-,DNB,-,-,-,1,South Africa,Kanpur,11 Oct 2015
RG Sharma,/ci/content/player/34102.html,-,DNB,-,-,-,1,South Africa,Kanpur,11 Oct 2015
AM Rahane,/ci/content/player/277916.html,-,DNB,-,-,-,1,South Africa,Kanpur,11 Oct 2015
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,2,South Africa,Indore,14 Oct 2015
S Dhawan,/ci/content/player/28235.html,-,DNB,-,-,-,2,South Africa,Indore,14 Oct 2015
RG Sharma,/ci/content/player/34102.html,-,DNB,-,-,-,2,South Africa,Indore,14 Oct 2015
V Kohli,/ci/content/player/253802.html,-,DNB,-,-,-,2,South Africa,Indore,14 Oct 2015
AM Rahane,/ci/content/player/277916.html,-,DNB,-,-,-,2,South Africa,Indore,14 Oct 2015
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,1,South Africa,Rajkot,18 Oct 2015
S Dhawan,/ci/content/player/28235.html,-,DNB,-,-,-,1,South Africa,Rajkot,18 Oct 2015
RG Sharma,/ci/content/player/34102.html,-,DNB,-,-,-,1,South Africa,Rajkot,18 Oct 2015
V Kohli,/ci/content/player/253802.html,-,DNB,-,-,-,1,South Africa,Rajkot,18 Oct 2015
AM Rahane,/ci/content/player/277916.html,-,DNB,-,-,-,1,South Africa,Rajkot,18 Oct 2015
AM Rahane,/ci/content/player/277916.html,-,DNB,-,-,-,2,South Africa,Chennai,22 Oct 2015
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,2,South Africa,Chennai,22 Oct 2015
SK Raina,/ci/content/player/33335.html,-,DNB,-,-,-,2,South Africa,Chennai,22 Oct 2015
S Dhawan,/ci/content/player/28235.html,-,DNB,-,-,-,2,South Africa,Chennai,22 Oct 2015
RG Sharma,/ci/content/player/34102.html,-,DNB,-,-,-,2,South Africa,Chennai,22 Oct 2015
V Kohli,/ci/content/player/253802.html,-,DNB,-,-,-,2,South Africa,Chennai,22 Oct 2015
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,1,South Africa,Mumbai,25 Oct 2015
S Dhawan,/ci/content/player/28235.html,-,DNB,-,-,-,1,South Africa,Mumbai,25 Oct 2015
RG Sharma,/ci/content/player/34102.html,-,DNB,-,-,-,1,South Africa,Mumbai,25 Oct 2015
AM Rahane,/ci/content/player/277916.html,-,DNB,-,-,-,1,South Africa,Mumbai,25 Oct 2015
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,2,Australia,Perth,12 Jan 2016
S Dhawan,/ci/content/player/28235.html,-,DNB,-,-,-,2,Australia,Perth,12 Jan 2016
AM Rahane,/ci/content/player/277916.html,-,DNB,-,-,-,2,Australia,Perth,12 Jan 2016
MK Pandey,/ci/content/player/290630.html,-,DNB,-,-,-,2,Australia,Perth,12 Jan 2016
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,2,Australia,Brisbane,15 Jan 2016
S Dhawan,/ci/content/player/28235.html,-,DNB,-,-,-,2,Australia,Brisbane,15 Jan 2016
RG Sharma,/ci/content/player/34102.html,-,DNB,-,-,-,2,Australia,Brisbane,15 Jan 2016
AM Rahane,/ci/content/player/277916.html,-,DNB,-,-,-,2,Australia,Brisbane,15 Jan 2016
MK Pandey,/ci/content/player/290630.html,-,DNB,-,-,-,2,Australia,Brisbane,15 Jan 2016
AM Rahane,/ci/content/player/277916.html,-,DNB,-,-,-,2,Australia,Melbourne,17 Jan 2016
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,2,Australia,Melbourne,17 Jan 2016
S Dhawan,/ci/content/player/28235.html,-,DNB,-,-,-,2,Australia,Melbourne,17 Jan 2016
RG Sharma,/ci/content/player/34102.html,-,DNB,-,-,-,2,Australia,Melbourne,17 Jan 2016
V Kohli,/ci/content/player/253802.html,-,DNB,-,-,-,2,Australia,Melbourne,17 Jan 2016
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,1,Australia,Canberra,20 Jan 2016
S Dhawan,/ci/content/player/28235.html,-,DNB,-,-,-,1,Australia,Canberra,20 Jan 2016
RG Sharma,/ci/content/player/34102.html,-,DNB,-,-,-,1,Australia,Canberra,20 Jan 2016
V Kohli,/ci/content/player/253802.html,-,DNB,-,-,-,1,Australia,Canberra,20 Jan 2016
AM Rahane,/ci/content/player/277916.html,-,DNB,-,-,-,1,Australia,Canberra,20 Jan 2016
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,1,Australia,Sydney,23 Jan 2016
S Dhawan,/ci/content/player/28235.html,-,DNB,-,-,-,1,Australia,Sydney,23 Jan 2016
RG Sharma,/ci/content/player/34102.html,-,DNB,-,-,-,1,Australia,Sydney,23 Jan 2016
V Kohli,/ci/content/player/253802.html,-,DNB,-,-,-,1,Australia,Sydney,23 Jan 2016
MK Pandey,/ci/content/player/290630.html,-,DNB,-,-,-,1,Australia,Sydney,23 Jan 2016
MK Pandey,/ci/content/player/290630.html,-,DNB,-,-,-,1,Zimbabwe,Harare,11 Jun 2016
KM Jadhav,/ci/content/player/290716.html,-,DNB,-,-,-,1,Zimbabwe,Harare,11 Jun 2016
KK Nair,/ci/content/player/398439.html,-,DNB,-,-,-,1,Zimbabwe,Harare,11 Jun 2016
KL Rahul,/ci/content/player/422108.html,-,DNB,-,-,-,1,Zimbabwe,Harare,11 Jun 2016
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,1,Zimbabwe,Harare,11 Jun 2016
AT Rayudu,/ci/content/player/33141.html,-,DNB,-,-,-,1,Zimbabwe,Harare,11 Jun 2016
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,1,Zimbabwe,Harare,13 Jun 2016
AT Rayudu,/ci/content/player/33141.html,-,DNB,-,-,-,1,Zimbabwe,Harare,13 Jun 2016
MK Pandey,/ci/content/player/290630.html,-,DNB,-,-,-,1,Zimbabwe,Harare,13 Jun 2016
KM Jadhav,/ci/content/player/290716.html,-,DNB,-,-,-,1,Zimbabwe,Harare,13 Jun 2016
KK Nair,/ci/content/player/398439.html,-,DNB,-,-,-,1,Zimbabwe,Harare,13 Jun 2016
KL Rahul,/ci/content/player/422108.html,-,DNB,-,-,-,1,Zimbabwe,Harare,13 Jun 2016
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,1,Zimbabwe,Harare,15 Jun 2016
AT Rayudu,/ci/content/player/33141.html,-,DNB,-,-,-,1,Zimbabwe,Harare,15 Jun 2016
FY Fazal,/ci/content/player/28671.html,-,DNB,-,-,-,1,Zimbabwe,Harare,15 Jun 2016
MK Pandey,/ci/content/player/290630.html,-,DNB,-,-,-,1,Zimbabwe,Harare,15 Jun 2016
KM Jadhav,/ci/content/player/290716.html,-,DNB,-,-,-,1,Zimbabwe,Harare,15 Jun 2016
KL Rahul,/ci/content/player/422108.html,-,DNB,-,-,-,1,Zimbabwe,Harare,15 Jun 2016
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,1,New Zealand,Dharamsala,16 Oct 2016
RG Sharma,/ci/content/player/34102.html,-,DNB,-,-,-,1,New Zealand,Dharamsala,16 Oct 2016
V Kohli,/ci/content/player/253802.html,-,DNB,-,-,-,1,New Zealand,Dharamsala,16 Oct 2016
AM Rahane,/ci/content/player/277916.html,-,DNB,-,-,-,1,New Zealand,Dharamsala,16 Oct 2016
MK Pandey,/ci/content/player/290630.html,-,DNB,-,-,-,1,New Zealand,Dharamsala,16 Oct 2016
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,1,New Zealand,Delhi,20 Oct 2016
RG Sharma,/ci/content/player/34102.html,-,DNB,-,-,-,1,New Zealand,Delhi,20 Oct 2016
V Kohli,/ci/content/player/253802.html,-,DNB,-,-,-,1,New Zealand,Delhi,20 Oct 2016
AM Rahane,/ci/content/player/277916.html,-,DNB,-,-,-,1,New Zealand,Delhi,20 Oct 2016
MK Pandey,/ci/content/player/290630.html,-,DNB,-,-,-,1,New Zealand,Delhi,20 Oct 2016
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,1,New Zealand,Mohali,23 Oct 2016
RG Sharma,/ci/content/player/34102.html,-,DNB,-,-,-,1,New Zealand,Mohali,23 Oct 2016
V Kohli,/ci/content/player/253802.html,-,DNB,-,-,-,1,New Zealand,Mohali,23 Oct 2016
AM Rahane,/ci/content/player/277916.html,-,DNB,-,-,-,1,New Zealand,Mohali,23 Oct 2016
MK Pandey,/ci/content/player/290630.html,-,DNB,-,-,-,1,New Zealand,Mohali,23 Oct 2016
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,1,New Zealand,Ranchi,26 Oct 2016
RG Sharma,/ci/content/player/34102.html,-,DNB,-,-,-,1,New Zealand,Ranchi,26 Oct 2016
V Kohli,/ci/content/player/253802.html,-,DNB,-,-,-,1,New Zealand,Ranchi,26 Oct 2016
AM Rahane,/ci/content/player/277916.html,-,DNB,-,-,-,1,New Zealand,Ranchi,26 Oct 2016
MK Pandey,/ci/content/player/290630.html,-,DNB,-,-,-,1,New Zealand,Ranchi,26 Oct 2016
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,2,New Zealand,Visakhapatnam,29 Oct 2016
RG Sharma,/ci/content/player/34102.html,-,DNB,-,-,-,2,New Zealand,Visakhapatnam,29 Oct 2016
V Kohli,/ci/content/player/253802.html,-,DNB,-,-,-,2,New Zealand,Visakhapatnam,29 Oct 2016
AM Rahane,/ci/content/player/277916.html,-,DNB,-,-,-,2,New Zealand,Visakhapatnam,29 Oct 2016
MK Pandey,/ci/content/player/290630.html,-,DNB,-,-,-,2,New Zealand,Visakhapatnam,29 Oct 2016
KM Jadhav,/ci/content/player/290716.html,-,DNB,-,-,-,2,New Zealand,Visakhapatnam,29 Oct 2016
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,1,England,Pune,15 Jan 2017
S Dhawan,/ci/content/player/28235.html,-,DNB,-,-,-,1,England,Pune,15 Jan 2017
V Kohli,/ci/content/player/253802.html,-,DNB,-,-,-,1,England,Pune,15 Jan 2017
KL Rahul,/ci/content/player/422108.html,-,DNB,-,-,-,1,England,Pune,15 Jan 2017
S Dhawan,/ci/content/player/28235.html,-,DNB,-,-,-,2,England,Cuttack,19 Jan 2017
V Kohli,/ci/content/player/253802.html,-,DNB,-,-,-,2,England,Cuttack,19 Jan 2017
KL Rahul,/ci/content/player/422108.html,-,DNB,-,-,-,2,England,Cuttack,19 Jan 2017
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,2,England,Cuttack,19 Jan 2017
Yuvraj Singh,/ci/content/player/36084.html,-,DNB,-,-,-,2,England,Cuttack,19 Jan 2017
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,1,England,Kolkata,22 Jan 2017
V Kohli,/ci/content/player/253802.html,-,DNB,-,-,-,1,England,Kolkata,22 Jan 2017
AM Rahane,/ci/content/player/277916.html,-,DNB,-,-,-,1,England,Kolkata,22 Jan 2017
KM Jadhav,/ci/content/player/290716.html,-,DNB,-,-,-,1,England,Kolkata,22 Jan 2017
KL Rahul,/ci/content/player/422108.html,-,DNB,-,-,-,1,England,Kolkata,22 Jan 2017
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,2,Pakistan,Birmingham,4 Jun 2017
Yuvraj Singh,/ci/content/player/36084.html,-,DNB,-,-,-,2,Pakistan,Birmingham,4 Jun 2017
S Dhawan,/ci/content/player/28235.html,-,DNB,-,-,-,2,Pakistan,Birmingham,4 Jun 2017
RG Sharma,/ci/content/player/34102.html,-,DNB,-,-,-,2,Pakistan,Birmingham,4 Jun 2017
V Kohli,/ci/content/player/253802.html,-,DNB,-,-,-,2,Pakistan,Birmingham,4 Jun 2017
KM Jadhav,/ci/content/player/290716.html,-,DNB,-,-,-,2,Pakistan,Birmingham,4 Jun 2017
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,2,Sri Lanka,The Oval,8 Jun 2017
Yuvraj Singh,/ci/content/player/36084.html,-,DNB,-,-,-,2,Sri Lanka,The Oval,8 Jun 2017
S Dhawan,/ci/content/player/28235.html,-,DNB,-,-,-,2,Sri Lanka,The Oval,8 Jun 2017
RG Sharma,/ci/content/player/34102.html,-,DNB,-,-,-,2,Sri Lanka,The Oval,8 Jun 2017
S Dhawan,/ci/content/player/28235.html,-,DNB,-,-,-,1,South Africa,The Oval,11 Jun 2017
RG Sharma,/ci/content/player/34102.html,-,DNB,-,-,-,1,South Africa,The Oval,11 Jun 2017
V Kohli,/ci/content/player/253802.html,-,DNB,-,-,-,1,South Africa,The Oval,11 Jun 2017
KM Jadhav,/ci/content/player/290716.html,-,DNB,-,-,-,1,South Africa,The Oval,11 Jun 2017
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,1,South Africa,The Oval,11 Jun 2017
Yuvraj Singh,/ci/content/player/36084.html,-,DNB,-,-,-,1,South Africa,The Oval,11 Jun 2017
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,1,Bangladesh,Birmingham,15 Jun 2017
Yuvraj Singh,/ci/content/player/36084.html,-,DNB,-,-,-,1,Bangladesh,Birmingham,15 Jun 2017
S Dhawan,/ci/content/player/28235.html,-,DNB,-,-,-,1,Bangladesh,Birmingham,15 Jun 2017
RG Sharma,/ci/content/player/34102.html,-,DNB,-,-,-,1,Bangladesh,Birmingham,15 Jun 2017
V Kohli,/ci/content/player/253802.html,-,DNB,-,-,-,1,Bangladesh,Birmingham,15 Jun 2017
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,1,Pakistan,The Oval,18 Jun 2017
Yuvraj Singh,/ci/content/player/36084.html,-,DNB,-,-,-,1,Pakistan,The Oval,18 Jun 2017
S Dhawan,/ci/content/player/28235.html,-,DNB,-,-,-,1,Pakistan,The Oval,18 Jun 2017
RG Sharma,/ci/content/player/34102.html,-,DNB,-,-,-,1,Pakistan,The Oval,18 Jun 2017
V Kohli,/ci/content/player/253802.html,-,DNB,-,-,-,1,Pakistan,The Oval,18 Jun 2017
MS Dhoni,/ci/content/player/28081.html,-,TDNB,-,-,-,-,West Indies,Port of Spain,23 Jun 2017
Yuvraj Singh,/ci/content/player/36084.html,-,TDNB,-,-,-,-,West Indies,Port of Spain,23 Jun 2017
R Ashwin,/ci/content/player/26421.html,-,TDNB,-,-,-,-,West Indies,Port of Spain,23 Jun 2017
S Dhawan,/ci/content/player/28235.html,-,TDNB,-,-,-,-,West Indies,Port of Spain,23 Jun 2017
