Player,Player Link,Minutes,Runs,Balls Faced,Fours,Sixes,Strike Rate,Inns,Opposition,Ground,Start Date
A Mishra,/ci/content/player/31107.html,12,4,7,1,0,57.14,2,South Africa,Mumbai,25 Oct 2015
MS Dhoni,/ci/content/player/28081.html,23,4,16,0,0,25.00,2,Pakistan,The Oval,18 Jun 2017
Yuvraj Singh,/ci/content/player/36084.html,-,4,10,0,0,40.00,1,West Indies,Port of Spain,23 Jun 2017
HH Pandya,/ci/content/player/625371.html,-,4,5,0,0,80.00,1,West Indies,Port of Spain,25 Jun 2017
S Dhawan,/ci/content/player/28235.html,-,4,3,1,0,133.33,2,West Indies,Kingston,6 Jul 2017
RG Sharma,/ci/content/player/34102.html,-,4,13,0,0,30.76,2,Sri Lanka,Dambulla,20 Aug 2017
KL Rahul,/ci/content/player/422108.html,-,4,6,0,0,66.66,2,Sri Lanka,Pallekele,24 Aug 2017
V Kohli,/ci/content/player/253802.html,-,4,2,1,0,200.00,2,Sri Lanka,Pallekele,24 Aug 2017
S Dhawan,/ci/content/player/28235.html,-,4,6,1,0,66.66,1,Sri Lanka,Colombo (RPS),31 Aug 2017
V Kohli,/ci/content/player/253802.html,8,3*,9,0,0,33.33,1,Australia,Sydney,26 Jan 2015
Mohammed Shami,/ci/content/player/481896.html,2,3*,3,0,0,100.00,1,Pakistan,Adelaide,15 Feb 2015
R Ashwin,/ci/content/player/26421.html,5,3*,3,0,0,100.00,1,Bangladesh,Melbourne,19 Mar 2015
R Dhawan,/ci/content/player/290727.html,5,3*,5,0,0,60.00,1,Australia,Melbourne,17 Jan 2016
RA Jadeja,/ci/content/player/234675.html,7,3,5,0,0,60.00,1,Pakistan,Adelaide,15 Feb 2015
V Kohli,/ci/content/player/253802.html,6,3,8,0,0,37.50,1,Bangladesh,Melbourne,19 Mar 2015
B Kumar,/ci/content/player/326016.html,13,3,10,0,0,30.00,1,Bangladesh,Dhaka,21 Jun 2015
SK Raina,/ci/content/player/33335.html,3,3,3,0,0,100.00,2,South Africa,Kanpur,11 Oct 2015
RG Sharma,/ci/content/player/34102.html,6,3,10,0,0,30.00,1,South Africa,Indore,14 Oct 2015
V Kohli,/ci/content/player/253802.html,-,3,12,0,0,25.00,2,West Indies,North Sound,2 Jul 2017
V Kohli,/ci/content/player/253802.html,-,3,11,0,0,27.27,2,Sri Lanka,Pallekele,27 Aug 2017
Mohammed Shami,/ci/content/player/481896.html,5,2*,3,0,0,66.66,1,Australia,Melbourne,18 Jan 2015
DS Kulkarni,/ci/content/player/277955.html,3,2*,2,0,0,100.00,1,Bangladesh,Dhaka,21 Jun 2015
AR Patel,/ci/content/player/554691.html,5,2*,3,0,0,66.66,1,Zimbabwe,Harare,10 Jul 2015
Kuldeep Yadav,/ci/content/player/559235.html,-,2*,6,0,0,33.33,2,West Indies,North Sound,2 Jul 2017
S Dhawan,/ci/content/player/28235.html,3,2,4,0,0,50.00,1,Australia,Melbourne,18 Jan 2015
RA Jadeja,/ci/content/player/234675.html,4,2,4,0,0,50.00,1,South Africa,Melbourne,22 Feb 2015
UT Yadav,/ci/content/player/376116.html,11,2,11,0,0,18.18,2,Bangladesh,Dhaka,18 Jun 2015
MK Tiwary,/ci/content/player/35565.html,14,2,14,0,0,14.28,1,Zimbabwe,Harare,10 Jul 2015
STR Binny,/ci/content/player/27223.html,18,2,5,0,0,40.00,2,South Africa,Kanpur,11 Oct 2015
AM Rahane,/ci/content/player/277916.html,7,2,3,0,0,66.66,2,Australia,Canberra,20 Jan 2016
B Kumar,/ci/content/player/326016.html,6,2,6,0,0,33.33,2,Australia,Canberra,20 Jan 2016
UT Yadav,/ci/content/player/376116.html,11,2,11,0,0,18.18,2,Australia,Canberra,20 Jan 2016
S Dhawan,/ci/content/player/28235.html,-,2,6,0,0,33.33,1,West Indies,North Sound,30 Jun 2017
KD Karthik,/ci/content/player/30045.html,-,2,19,0,0,10.52,2,West Indies,North Sound,2 Jul 2017
R Ashwin,/ci/content/player/26421.html,4,1*,1,0,0,100.00,1,Pakistan,Adelaide,15 Feb 2015
