batid,bowlid,comm,inns,oa,ou,ovr,r,rt,x,y,z
48472,379504,"Zampa lobs a full toss on middle, Dilshan punches it down the ground for one",1,10.6,10.06,10.6,1,1,280,280,4
48472,5961,"The Dilscoop goes awry for Dilshan. Not a happy return for the old pro. Henriques finds some extra bounce outside off, which foils Dilshan's shot. And the ball isn't coming on here. He top-edges it, <b>hit the helmet</b>, and ballooned in the air. Smith runs in from point and settles under the catch",1,11.1,11.01,11.1,0,0,160,145,7
300628,5961,"full at of stump, played back to the bowler",1,11.2,11.02,11.2,0,0,180,188,4
300628,5961,"Henriques slips in a cutter outside off, finds extra bounce from the parched surface. Chandimal hops, gets on top of it, and runs it down to third man",1,11.3,11.03,11.3,1,1,128,52,8
629074,5961,"short and some with outside off, rocks back and cuts firmly to Smith at point",1,11.4,11.04,11.4,0,0,125,141,7
629074,5961,"full and on the stumps, forward and pushed down the ground. Mid-off runs to his right and throws himself on the ground to cut that off",1,11.5,11.05,11.5,1,1,187,247,4
300628,5961,"lobs a full toss on off, Chandimal could have latched onto it. Instead, he simply taps it to extra-cover",1,11.6,11.06,11.6,0,0,141,189,6
629074,379504,"tossed full on middle, defended back to the bowler",1,12.1,12.01,12.1,0,0,168,197,5
629074,379504,"short legbreak outside off, ample time to skip back and cut through the covers",1,12.2,12.02,12.2,1,1,28,207,6
300628,379504,"another short quick legbreak outside off, the batsman cuts perilously close to first slip off a thick outside edge. <strong>Smith dives to his right and only finger-tips it away</strong> to third man",1,12.3,12.03,12.3,2,2,149,32,8
300628,379504,"full and outside off, pushed down to long-off",1,12.4,12.04,12.4,1,1,78,287,5
629074,379504,"slides on middle and leg, Mendis unleashes a slog-sweep, but Finch at deep midwicket hunts it down",1,12.5,12.05,12.5,2,2,333,226,3
629074,379504,"an appeal for lbw, umpire Martinesz does not budge. Smith chats with Zampa and <b>calls for a review</b>. Pushed through on leg stump, pitches in line, no turn, beats the inside edge. Mendis plays across the line, against this straight delivery, and misses. Was that heading down leg? Hitting the outside of the leg stump. Umpire's call on review, and <b>Australia's review amounts to nothing</b>",1,12.6,12.06,12.6,0,0,184,163,2
300628,5961,"shortish on middle and leg, clipped away through backward square leg",1,13.1,13.01,13.1,1,1,315,120,2
